"date","site","sif","doy","year"
"2007-01-15","US-Kon",0.292915314435959,15,2007
"2007-02-15","US-Kon",-0.0052709192968905,46,2007
"2007-03-15","US-Kon",0.0562585406005383,74,2007
"2007-04-15","US-Kon",0.35185107588768,105,2007
"2007-05-15","US-Kon",0.542379081249237,135,2007
"2007-06-15","US-Kon",0.616627395153046,166,2007
"2007-07-15","US-Kon",0.654870271682739,196,2007
"2007-08-15","US-Kon",0.552922308444977,227,2007
"2007-09-15","US-Kon",0.243608832359314,258,2007
"2007-10-15","US-Kon",0.132976666092873,288,2007
"2007-11-15","US-Kon",0.0261592585593462,319,2007
"2007-12-15","US-Kon",0.165234968066216,349,2007
"2008-01-15","US-Kon",0.15174874663353,15,2008
"2008-02-15","US-Kon",-0.0369369797408581,46,2008
"2008-03-15","US-Kon",0.0952443554997444,75,2008
"2008-04-15","US-Kon",0.204088985919952,106,2008
"2008-05-15","US-Kon",0.480247318744659,136,2008
"2008-06-15","US-Kon",0.805240333080292,167,2008
"2008-07-15","US-Kon",0.79801219701767,197,2008
"2008-08-15","US-Kon",0.64395272731781,228,2008
"2008-09-15","US-Kon",0.312864124774933,259,2008
"2008-10-15","US-Kon",0.236396208405495,289,2008
"2008-11-15","US-Kon",0.0570343807339668,320,2008
"2008-12-15","US-Kon",0.0458120405673981,350,2008
"2009-01-15","US-Kon",-0.0117886364459991,15,2009
"2009-02-15","US-Kon",0.113043814897537,46,2009
"2009-03-15","US-Kon",0.134920611977577,74,2009
"2009-04-15","US-Kon",0.135043129324913,105,2009
"2009-05-15","US-Kon",0.650673747062683,135,2009
"2009-06-15","US-Kon",0.654546499252319,166,2009
"2009-07-15","US-Kon",0.803708016872406,196,2009
"2009-08-15","US-Kon",0.664358854293823,227,2009
"2009-09-15","US-Kon",0.351778000593185,258,2009
"2009-10-15","US-Kon",0.111828155815601,288,2009
"2009-11-15","US-Kon",0.0533296763896942,319,2009
"2009-12-15","US-Kon",0.0447000525891781,349,2009
"2010-01-15","US-Kon",-0.0353882387280464,15,2010
"2010-02-15","US-Kon",0.0390952229499817,46,2010
"2010-03-15","US-Kon",0.0697333589196205,74,2010
"2010-04-15","US-Kon",0.338320374488831,105,2010
"2010-05-15","US-Kon",0.503554165363312,135,2010
"2010-06-15","US-Kon",0.545310020446777,166,2010
"2010-07-15","US-Kon",0.825907707214355,196,2010
"2010-08-15","US-Kon",0.450956434011459,227,2010
"2010-09-15","US-Kon",0.340677201747894,258,2010
"2010-10-15","US-Kon",0.171078458428383,288,2010
"2010-11-15","US-Kon",0.0772110521793365,319,2010
"2010-12-15","US-Kon",0.0433281101286411,349,2010
"2011-01-15","US-Kon",-0.00235649012029171,15,2011
"2011-02-15","US-Kon",0.029548903927207,46,2011
"2011-03-15","US-Kon",-0.0269966423511505,74,2011
"2011-04-15","US-Kon",0.292233437299728,105,2011
"2011-05-15","US-Kon",0.592137575149536,135,2011
"2011-06-15","US-Kon",0.592891037464142,166,2011
"2011-07-15","US-Kon",0.712944626808167,196,2011
"2011-08-15","US-Kon",0.673111617565155,227,2011
"2011-09-15","US-Kon",0.343400597572327,258,2011
"2011-10-15","US-Kon",0.0793953463435173,288,2011
"2011-11-15","US-Kon",0.0770728066563606,319,2011
"2011-12-15","US-Kon",-0.0251858830451965,349,2011
"2012-01-15","US-Kon",0.0549369044601917,15,2012
